,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
34,kak gue orang jawa maaf ya gue orang palembang kakak deh ajar aksara jawa kelak ajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
35,pegawai guardian training kayak gue kayak gembel kaos flat shoes dijutekin bangsat malas beli kabur gue matahari,1,1,0,1,0,0,0,0,1,0,1,0
36,bajing luka lady terima ganjar ratus kali,0,1,0,0,0,0,0,0,0,0,0,0
37,aja tolak berita hoaks sukses pilih kepala daerah wilayah kota diri,0,0,0,0,0,0,0,0,0,0,0,0
38,presiden ri jokowi kerja nya tulus ikhlas,0,0,0,0,0,0,0,0,0,0,0,0
39,edan tuju fabiano,0,1,0,0,0,0,0,0,0,0,0,0
40,dalam alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,1,1,1,0,1,0,1,0,0,1,0,0
41,beda wibawa wibawa gubernur indonesia masya allah,0,0,0,0,0,0,0,0,0,0,0,0
42,anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta,1,1,0,1,0,0,0,0,1,0,1,0
43,gubernur zaman now keanekaragaman budaya suku agama sungguh kaya kita djarot hadap serta rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0
44,iya islam lokalisasi kristen mas nusantara mas lihat gereja bandung pakai gamelan khotbah pakai bahas sundajawa huria kristen batak protestan nusantara,0,0,0,0,0,0,0,0,0,0,0,0
45,cipta situasi aman tertib masyarakat jelang pilih kepala daerah kepala polisi sektor konang silaturahmi tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
46,positif koknsepositif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka imporn,0,0,0,0,0,0,0,0,0,0,0,0
47,sembahyang adopsi tradisi lokal kerja lahir tradisi tunggal sembah all,0,0,0,0,0,0,0,0,0,0,0,0
48,didik bodohgk larang bawa agamabiar orang islam bayar ahok sadar pilih ahok gila,1,1,1,0,0,0,0,0,1,1,0,0
49,ahok the best abai kaum kampret otak micin,1,1,0,1,0,0,0,0,1,0,1,0
50,sih otak tempurung laden lawan dungu makan hehe,1,1,1,0,0,0,0,0,1,1,0,0
51,awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman brt pulang ky nhn ngedendungu,1,1,1,0,0,0,1,0,0,1,0,0
52,pinokio umur tahun,1,0,1,0,0,0,0,0,1,1,0,0
53,cerita silat lae kho merah muda oh indonesia liang ie shen tulis cina,0,0,0,0,0,0,0,0,0,0,0,0
54,benci umat islam,1,0,0,1,1,0,0,0,0,0,1,0
55,provokasi mayat politisasi agama sebab kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih apa camat wakil etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0
56,gue nete,0,1,0,0,0,0,0,0,0,0,0,0
57,wkwk bani lowo,1,1,0,1,0,0,0,0,1,0,1,0
58,takabur lahir kuasa rakyat ulama cendikia iblis makhluk alim amp ibadah laknat hasud takabur ahli ilmu filsafat failosof mari demo sendi,0,0,0,0,0,0,0,0,0,0,0,0
59,a orang suka konserkonser boros,0,0,0,0,0,0,0,0,0,0,0,0
60,ulama hukum rokok mubah juga,0,0,0,0,0,0,0,0,0,0,0,0
61,susilo bambang yudhoyono presiden ri khofifah emil masyarakat no bagus,0,0,0,0,0,0,0,0,0,0,0,0
62,kali gue gemar korea pop omong gue idol gue banci homo,1,1,1,0,0,0,0,1,0,1,0,0
63,suka video kisah seteru haji bolot amp malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0
64,budaya kafir sungguh islam indah,0,0,0,0,0,0,0,0,0,0,0,0
65,lahm hem diam bisukita coba rumput goyang,0,0,0,0,0,0,0,0,0,0,0,0
66,setan bisik waswas kepada minta lindung allah qs fussilat,0,0,0,0,0,0,0,0,0,0,0,0
67,atheisngapain sibuk agama orang,0,0,0,0,0,0,0,0,0,0,0,0
68,lengser jokowi bangsat,1,1,1,0,0,0,0,0,1,0,0,1
69,selamat kartini,0,0,0,0,0,0,0,0,0,0,0,0
70,bajing kamar mandi biar,1,1,1,0,0,0,0,1,0,1,0,0
71,iya cocot,1,1,1,0,0,0,0,0,1,1,0,0
72,budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0
73,ajar solata orang asing pecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
74,x bicara bangkai,1,1,1,0,0,0,0,0,1,1,0,0
75,percaya negara jajah ranah beraja negara jadi negara republik komunis jaja,0,0,0,0,0,0,0,0,0,0,0,0
76,nikmat bijak usul partai komunis indonesia iya,1,0,0,1,0,1,0,0,0,0,1,0
77,umpama orang cina usir paksa indonesia,1,0,0,1,0,1,0,0,0,0,1,0
78,bunda ngentot yuk,0,1,0,0,0,0,0,0,0,0,0,0
79,cina babi cina malingusirchina,1,1,0,1,0,1,0,0,0,0,0,1
80,karno anti asing beliau jawa coba deh adakan konsensus jawa anti asing pro asing keboohannya keliru tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
81,proyek korupsi rezim susilo bambang yudhoyono,1,0,1,0,0,0,0,0,1,1,0,0
82,wajar lihat tingkah petinggi negeri suka campur bahas indonesia bahas asing kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
83,ab pribadi senang kompetisi positif,0,0,0,0,0,0,0,0,0,0,0,0
84,kitab suci agama bilang om dadak kalap,1,0,1,0,0,0,0,0,1,1,0,0
85,suka tutup mata tutup tutup sipit,0,0,0,0,0,0,0,0,0,0,0,0
86,muslim nista kitab suci alquran alquran suku detik makna faktual umat islam makna sirat fiksi,0,0,0,0,0,0,0,0,0,0,0,0
87,eh kasar kampang,1,1,1,0,0,0,0,0,1,1,0,0
88,bentar gue rilis album the ontas wkwk,0,0,0,0,0,0,0,0,0,0,0,0
89,cebong bang,1,1,1,0,0,0,0,0,1,1,0,0
90,najis banget gue mentwit barusan he,0,1,0,0,0,0,0,0,0,0,0,0
91,transgender anjing,1,1,1,0,0,0,0,1,0,1,0,0
92,awas bintit intip titit kucing,0,1,0,0,0,0,0,0,0,0,0,0
93,bawel bawa asa bolot bodor wkwk ya deh,0,1,0,0,0,0,0,0,0,0,0,0
94,gue saran bacot maling ayat langsung to the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,1,1,1,0,1,0,0,0,0,1,0,0
95,salah target ahok agenda utama lengser jokowi,1,0,1,0,0,0,0,0,1,0,0,1
96,kena tagar panas banget,1,0,1,0,0,0,0,0,1,1,0,0
97,maju duit goyang kaki pape duit nak maju kat bodoh,0,1,0,0,0,0,0,0,0,0,0,0
98,huria kristen batak protestan diri pecah kristen katolik zaman jajah belandadl nama kristen protestan kristen khatoliknterjadilah pecah diri huria kristen batak protestan kali tarutungnnah k,0,0,0,0,0,0,0,0,0,0,0,0
99,baca biar pintar jepang amerika cina utang tau,0,0,0,0,0,0,0,0,0,0,0,0
100,prabowo kalah sebut bantu jokowi citra ratap pilu,1,0,1,0,0,0,0,0,1,1,0,0
101,takut azan iblis,0,0,0,0,0,0,0,0,0,0,0,0
102,goblok bani cebong tukang tipu jilat kuasa tahu gera bayar pakai nasi bungkus propaganda nasi bungkus gagal,1,1,0,1,0,0,0,0,1,0,1,0
103,cebong,1,1,1,0,0,0,0,0,1,1,0,0
104,gera tekan kerja keras total tingkat potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
105,gubernur djarot mayoritas partai politik dewan wakil rakyat daerah dukung ahok djarot payah ya,1,0,1,0,0,0,0,0,1,1,0,0
106,rezim rusak baik sistem sibuk salah ketemu komisi berantas korupsi alat besok perintah ganti ulang engah selesai organisasi orang,0,0,0,0,0,0,0,0,0,0,0,0
107,orang orang tuding antek asing asing sungguh tepuk tangan,0,0,0,0,0,0,0,0,0,0,0,0
108,anti asing,0,0,0,0,0,0,0,0,0,0,0,0
109,selamat moga kiprah tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0
110,sih ulama,0,0,0,0,0,0,0,0,0,0,0,0
111,tahu ketapang tenaga kerja asing asing usaha pt who tambang bauksit viral pilih presiden kerja era gubernur cornelis wakil,0,0,0,0,0,0,0,0,0,0,0,0
112,anak pecun hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0
113,bom surat harga syariah negara,0,0,0,0,0,0,0,0,0,0,0,0
114,istirahat presiden momentum saksi telinga mata rapat bentuk pacitan,0,0,0,0,0,0,0,0,0,0,0,0
115,house select committee on assassination hsca temu cacat investigasi fbi warren commission hsca simpul tembak konspirasi dalam,0,0,0,0,0,0,0,0,0,0,0,0
116,genap april gelar hajat pilih presiden acara tahun negara indonesia pilih presiden moga senantiasa jalan aman lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
117,ian pantat,0,1,0,0,0,0,0,0,0,0,0,0
118,aku orang pintar agama memang agama boleh nista hujat orang orang bodoh orang maaf lahir idiot harga cipta tuhan iblis pintar licik,0,1,0,0,0,0,0,0,0,0,0,0
119,daftar calon presiden buka agustus normatif politikus partai demokrasi indonesia juang paham,1,0,0,1,0,0,0,0,1,0,1,0
120,sih tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong,1,1,1,0,0,1,0,0,0,1,0,0
121,gue mantan mantan gue sedih pikir tidur lo gue anak berengsek,0,1,0,0,0,0,0,0,0,0,0,0
122,cina usak bangsa usir tuju,1,0,0,1,0,1,0,0,0,0,0,1
123,konstitusional hak rakyat woiii nih plonga plongo laku otoriter,1,1,1,0,0,0,0,0,1,1,0,0
124,mari wujud pilih kepala daerah kota bengkulu aman damai,0,0,0,0,0,0,0,0,0,0,0,0
125,serius presiden jokowi islam nusantaraknp kristen nusantarabudhahindu kong hucu nusantara,0,0,0,0,0,0,0,0,0,0,0,0
126,sama nyata moeldoko bukti istana takut bangkit umat islam,0,0,0,0,0,0,0,0,0,0,0,0
127,cowok jago drasex ngentot adik luvian,0,1,0,0,0,0,0,0,0,0,0,0
128,kroasia kafir tauuungapain ajar kapirudh lupa kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0
129,nya menteri soeharto homo,1,1,1,0,0,0,0,1,0,1,0,0
130,gue tau culun takut orang ubah buruk,0,0,0,0,0,0,0,0,0,0,0,0
131,perang salib raja afrika bagi babilonia peluk kristen tobaco peluk islam,0,0,0,0,0,0,0,0,0,0,0,0
132,kejar setor bangsat rupiah turun,1,1,1,0,0,0,0,0,1,1,0,0
133,moga tindak lapor nista agama adek armando langsung ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jakarta pusat selasa indonesia barat perhaps,1,0,1,0,1,0,0,0,0,1,0,0
134,bangkai hajar,1,1,1,0,0,0,0,0,1,0,0,1
135,onta mati banyak minum,1,0,0,1,0,0,0,0,1,0,1,0
136,ahok tng waswas hidup,1,0,1,0,0,0,0,0,1,1,0,0
137,sul teng ekses akibat sandera hutang cina,1,0,1,0,0,0,0,0,1,1,0,0
138,pride yunani keangkuhanharga dirikesombonganndikenal sebut hubrisvanity harga ubah manusia sombong sombong manusia kutuk mata tuhandan manusia cinta,0,0,0,0,0,0,0,0,0,0,0,0
139,tuju hatinlogikaku hati tenangnaku logika hati sedih ku cari wasiat beliau tinggal asing asing mata manusia duhai,0,0,0,0,0,0,0,0,0,0,0,0
140,taji nya komisi berantas korupsi era initapi era komitmen berantas korupsi surat pemberitahuan tahun era susilo bambang yudhoyono,1,0,0,1,0,0,0,0,1,0,1,0
141,admin tolol partai tololnpartai tolol orang tolol,1,1,0,1,0,0,0,0,1,0,1,0
142,ayu ting ting goyang hot raffi ahmad nagita slavina kampung norak,0,1,0,0,0,0,0,0,0,0,0,0
143,video tenaga kerja asing malaysia kutip nyata,0,0,0,0,0,0,0,0,0,0,0,0
144,ppp buruburu tolak wacana pilih kepala daerah lewat dewan wakil rakyat daerah,0,0,0,0,0,0,0,0,0,0,0,0
145,random samper meja kerja pakai bedak sih biar muka bersih istri butek soalnyaningin ku pakai air wudhu ku kristen,0,0,0,0,0,0,0,0,0,0,0,0
146,gue kampret,0,1,0,0,0,0,0,0,0,0,0,0
147,memek lonte sodok kontol gede,0,1,0,0,0,0,0,0,0,0,0,0
148,jokowi mundur tutup,1,0,1,0,0,0,0,0,1,1,0,0
149,bicara itumulut bancibeli kaca lihat diri bro,1,1,1,0,0,0,0,1,0,1,0,0
150,amin rasisnada daninada ratna sih paiiitnada sih ontanada sih lobang anusnjdi takut oi wonkehabisan obat tenang ya,1,1,1,0,0,0,0,0,1,1,0,0
151,tunggu komando imam bejat cabul tai bir bawa ulamandasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0
152,kabinet beranta pecah belah satu rezim,1,0,0,1,0,0,0,0,1,0,1,0
153,ih aku pintar orang politik kaca oi tampang orang bego wkwk,1,1,1,0,0,0,1,0,0,1,0,0
154,partai demokrasi indonesia juang menang tekan usaha tambang target proyek impossible lelang murah antek cina ntb contoh partai demokrasi indonesia juang menang dasar bajing,1,1,0,1,0,0,0,0,1,0,1,0
155,percaya mulut buaya mu bawang,1,1,1,0,0,0,0,0,1,1,0,0
156,susilo bambang yudhoyono prabowo satu lawan mega jokowi peristiwa ulang mana partai demokrasi indonesia juang incumbent kalah mutlak susilo bambang yudhoyono jkwmegasby lawan prabowo mk pilih presiden selesai poros pilih presiden mk salah lawan,0,0,0,0,0,0,0,0,0,0,0,0
157,kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden lawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
158,bebal,0,0,0,0,0,0,0,0,0,0,0,0
159,indonesia negara populasi muslim besar dunia islam musuh barat amp komunis hambat agenda penting merekaobviously,0,0,0,0,0,0,0,0,0,0,0,0
160,umuh persibnpersib,1,1,0,1,0,0,0,0,1,0,1,0
161,film muslim pilih ahok mati salat jamin laris,1,0,1,0,0,0,0,0,1,1,0,0
162,banu banu yahudi beda banu banu kristen suriah salah beda banu yahudi pakai eloah elohim yahwe suriah pakai alah allah,0,0,0,0,0,0,0,0,0,0,0,0
163,eh muka cendol setan cuaca nih panas,0,1,0,0,0,0,0,0,0,0,0,0
164,berita saracen diframing katak akan tim prabowo aniessandi media tumpah sakit hati katak cebong ehe,1,1,0,1,0,0,0,0,1,0,1,0
165,giat bhayangkara bina aman tertib masyarakat brigadir polisi manajemen bas sekolah sihombing rabu april laksana sambang desa tatap muka pantau aman tertib masyarakat pilih kepala daerah desa lobusiregar i tepat rumah rudi panjaitan helm siahaan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
166,sayang banget ya perempuan kayak status tempel lakilaki haduhnnagita slavina blakblakan ayu ting ting kampung viva,0,1,0,0,0,0,0,0,0,0,0,0
167,lupa kang umat katolik minoritas perhati gubernur golong golong,0,0,0,0,0,0,0,0,0,0,0,0
168,cebong bilang kemarin ngeyelnsitu paksa cebong,1,1,1,0,0,0,0,0,1,1,0,0
169,lemah gerindra orang iniprabowo turun elektabilitasnya congor fadli zon surat pemberitahuan tahun durno,1,1,1,0,0,0,0,0,1,1,0,0
170,selamat kartini kali raya makna kali,0,0,0,0,0,0,0,0,0,0,0,0
171,foto bisu milik arti susah diartikansma susah diartikanmau putus,0,0,0,0,0,0,0,0,0,0,0,0
172,wkwk alam muncul grub wa a bani abdi had aka mbah mek kenal orang,0,0,0,0,0,0,0,0,0,0,0,0
173,ayah pres badar nuqaba boekkk nih hebat bidang agama x takut natural killer tegur member lawak hambar lawak orang jom gerak gera badan chubby tu,0,0,0,0,0,0,0,0,0,0,0,0
174,orang anak pekan ilham dasar ekonomi deb gerak utama maju ekonomi bandar beliau allah ya rahman tun abdul razak ds malaysia pilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
175,haha sialaaan nih sih lapar presiden sikat doi,0,0,0,0,0,0,0,0,0,0,0,0
176,nasihat kali nih rezim eh negeri keburu ancornah ekonomi moral meni kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0
177,alah silit kebelet kasihan orang sayang paknsetelah media sosial gue sadar instansi kemarinntar gue cerita duuuhhh,0,1,0,0,0,0,0,0,0,0,0,0
178,iya cacat,0,0,0,0,0,0,0,0,0,0,0,0
179,rakyat makan aspal beton solusi jitu kurang miskin ahli cebong tukang tipu cebong goblok ketulungan plonga plongo akibat optimisme,1,1,0,1,0,0,0,0,1,0,1,0
180,baca harun yahya belot kubu yahudi freemason nyakdg suka percaya,0,0,0,0,0,0,0,0,0,0,0,0
181,maju ulama gerak tokoh agama indonesia gus mus,0,0,0,0,0,0,0,0,0,0,0,0
182,,0,0,0,0,0,0,0,0,0,0,0,0
183,mukidi percaya mudah ya keras keras nama,0,0,0,0,0,0,0,0,0,0,0,0
184,kemarin hujat harap dasar bani kampret,1,1,0,1,0,0,0,0,1,0,1,0
185,jelas fitnah sila ban apollinaris darmawan alquran kitab sampah,1,1,0,1,1,0,0,0,0,0,1,0
186,monyet koloe bilang saudara ogah hidup ya hati comberan,1,1,1,0,0,0,0,0,1,1,0,0
187,body lufra scrub bahan dasar lidah buaya melembabkan kulit amp cahaya info body mass index,0,0,0,0,0,0,0,0,0,0,0,0
188,cacat masa,0,0,0,0,0,0,0,0,0,0,0,0
189,anut bumi datar teori bumi bulat orang asing notabene musuh,0,0,0,0,0,0,0,0,0,0,0,0
190,becak warga binjai sita tenda tulis partai adil sejahtera radang bukti perintah panik takut,1,0,0,1,0,0,0,0,1,0,1,0
191,jokowi mundur,1,0,1,0,0,0,0,0,1,1,0,0
192,musyawarah nasional alim ulama ppp semarang hasil rekomendasi syarat kriteriakriteria calon wakil presiden damping jokowi romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0
193,cerah nya gagal anak ekonomi wkwk,0,0,0,0,0,0,0,0,0,0,0,0
194,kafan asal budaya yahudi umat islam klaim,0,0,0,0,0,0,0,0,0,0,0,0
195,rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,1,0,0,1,1,1,0,0,0,0,1,0
196,tanda nya pilih kepala daerah pilih presiden,0,0,0,0,0,0,0,0,0,0,0,0
197,bangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur,0,0,0,0,0,0,0,0,0,0,0,0
198,tabah pasang taufik puan niyana wajar contoh jom sumbang ringan beban pasang come on twitter do your pikir badan standar nasional bank islam niyana bosan abdul razif,0,0,0,0,0,0,0,0,0,0,0,0
199,sih tai doang belaganya langit karma idol flop gue tertawa keras,1,1,1,0,0,0,0,0,1,1,0,0
200,celeng kangen gue iya,0,1,0,0,0,0,0,0,0,0,0,0
201,rang negeri budaya yuk unjung purwokerto mumpung even rakyat purwokerto ekstra vaganza banyumas,0,0,0,0,0,0,0,0,0,0,0,0
202,presiden dana taktis penting rakyat perintah program bangun infrastruktur kip kartu indonesia sehat sertifikat tanah hutan sosial bahan bakar minyak harga padat karya,0,0,0,0,0,0,0,0,0,0,0,0
203,amin ya allah tim kan latih ular rawarawa dapat sungai gede musuh buaya wkwk,0,0,0,0,0,0,0,0,0,0,0,0
204,maju maki mama bolot,1,1,1,0,0,0,0,0,1,1,0,0
205,gerombol kadal jidat gosongmmg suka ribut gerombol salah budekdasar gerombol cingkrang,1,1,0,1,0,0,1,0,0,0,1,0
206,gentar takut,0,0,0,0,0,0,0,0,0,0,0,0
207,saracen akun kritis anggap saracen aneh jokowi,1,0,1,0,0,0,0,0,1,1,0,0
208,bego teman gue najis kesal gue,1,1,1,0,0,0,0,0,1,1,0,0
209,kafir kristen ulah,1,1,0,1,1,0,0,0,0,0,1,0
210,tau bau bau cir sipit buluk,1,1,1,0,0,1,0,0,0,1,0,0
211,kayak pegang mucikari,0,0,0,0,0,0,0,0,0,0,0,0
212,guru tk darma wanita satu desa plumbon porong deklarasi anti hoaks ujar benci isu sarah dukung pilih kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0
213,anjir seram main begitu,0,1,0,0,0,0,0,0,0,0,0,0
214,kayak bank bilang jual uang asingtukar rupiah,0,0,0,0,0,0,0,0,0,0,0,0
215,onta yaman ninsetahun gue deportasi,1,1,1,0,0,0,0,0,1,0,0,1
216,hatihati berita pilih kepala daerah bau hoaks madiun madiun today kotak karismatik madiun tolak cukai ilegal kunjung,0,0,0,0,0,0,0,0,0,0,0,0
217,anak cocot ya,1,1,1,0,0,0,0,0,1,1,0,0
218,tahu hoaks ya fahri ambil berita tuyg baru tong sampah ambil screenshoot tau berita,1,0,1,0,0,0,0,0,1,1,0,0
219,mantap direct message baris serba bang,0,0,0,0,0,0,0,0,0,0,0,0
220,lebah suka bunga makan bangkai gue penasaran madu nya kayak,0,0,0,0,0,0,0,0,0,0,0,0
221,indonesia mundur bentuk,1,0,1,0,0,0,0,0,1,1,0,0
222,dongok bilang hacker haha,0,1,0,0,0,0,0,0,0,0,0,0
223,haha blunder cebong protein energy malnutrition pusat alas ham rakyat aceh ya kali coba datang perintah bilang suruh hukum islam kaffah aceh dewan wakil rakyat a,1,1,1,0,0,0,0,0,1,1,0,0
224,bangsat gue selam,0,1,0,0,0,0,0,0,0,0,0,0
225,dipancingpancing urus nista bicara paham fiksi kitab suci,0,0,0,0,0,0,0,0,0,0,0,0
226,cebong kacung teman gue dungu tulang energi debat,1,1,0,1,0,0,0,0,1,0,1,0
227,partai korupsi sapigoblog,1,1,0,1,0,0,0,0,1,0,1,0
228,sinyal kontol pelihara niat sih login twitter doang susah open redtube setan,1,1,0,1,0,0,0,1,0,0,1,0
229,mata kafir wkwk,0,0,0,0,0,0,0,0,0,0,0,0
230,facebook anjir lupa,0,1,0,0,0,0,0,0,0,0,0,0
231,sih bilang alah kontol,0,1,0,0,0,0,0,0,0,0,0,0
232,nikita mirzani pakai hijab bicara cebang cebong fantasi uh ah cokorers,1,1,1,0,0,0,0,0,1,1,0,0
233,tatap alih arah enggan tatap pria curiga kali gaduh suasana angie temu pria asing tidur sofa jadi,0,0,0,0,0,0,0,0,0,0,0,0
234,lahir kembang gera komunis indonesia pisah organisasi nama indische sociaal democratische vereeniging,0,0,0,0,0,0,0,0,0,0,0,0
235,shaheizy wajah baharu calpis,0,0,0,0,0,0,0,0,0,0,0,0
236,ya serah balas fokus kerja tugas proyek seni budaya telah langsung kumpul presentasi syukur nilai muas jadi proyek,0,0,0,0,0,0,0,0,0,0,0,0
237,bro,0,0,0,0,0,0,0,0,0,0,0,0
238,laku bodoh masuk kategori buat menyenangkannkelakuan sontoloyo menganggu satu bangsankelakuan naif langsung bentuk intimidasi ulamankelakuan,1,1,1,0,0,0,0,0,1,1,0,0
239,monyet turun mukim warga cibadak sukabumi,0,0,0,0,0,0,0,0,0,0,0,0
240,kotor bahagia warga cebong erti,1,1,0,1,0,0,0,0,1,0,1,0
241,giveaway taplak meja menang the rich chenle,0,0,0,0,0,0,0,0,0,0,0,0
242,buka busuk kubu anies sandi menang berkah prabowo usaha cuci tangan,1,0,0,1,0,0,0,0,1,0,1,0
243,wkwk bodoh bang,0,1,0,0,0,0,0,0,0,0,0,0
244,kayak orang begobro tapimemangbego,1,1,1,0,0,0,0,0,1,1,0,0
245,menteri lingkung hidup hutan upaya perata ekonomi tora kawasan hutan hutan sosial tribun medan,0,0,0,0,0,0,0,0,0,0,0,0
246,mahfud md paling allah subhanahu wa taala berang bangsa ajak buang islam,1,1,0,1,1,0,0,0,0,0,0,1
247,bego banyak minum amp makan kotor onta otak nya somplak,1,1,1,0,0,0,0,0,1,1,0,0
248,kuak strategi kampanye tim menang anies sandi,1,0,1,0,0,0,0,0,1,1,0,0
249,warga badui selesai ingat tradisi seba pendopo perintah kabupaten lebak lanjut temu gubernur banten wahidin halim sabtu,0,0,0,0,0,0,0,0,0,0,0,0
250,anti korupsi bubar sentuh kuasa gilir komisi berantas korupsi partai demokrasi indonesia juang partai politik kuasa pulang otot bubar komisi berantas korupsi,1,0,0,1,0,0,0,0,1,0,1,0
